                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                 1.9974,                 3.9099,                 2.7579,                0.89214,                    0.1,                0.27201,                0.15997,                 1.6309,                 4.2704,                 2.2766,             0.00037654,             0.00037654,             0.00037654
                    101,                 1.9324,                 4.3127,                 2.9055,                0.89214,                    0.1,                0.27201,                0.15997,                 1.6309,                 4.2704,                 2.2766,             0.00037613,             0.00037613,             0.00037613
                    102,                 1.8146,                 3.6429,                 2.7385,                0.46462,                    0.3,                0.24189,                0.16276,                  1.462,                 4.2387,                 2.1218,             0.00037572,             0.00037572,             0.00037572
                    103,                 1.8848,                 3.9872,                 2.8101,                0.46462,                    0.3,                0.24189,                0.16276,                  1.462,                 4.2387,                 2.1218,              0.0003753,              0.0003753,              0.0003753
                    104,                 1.6201,                 3.5248,                 2.7052,                0.49362,                0.30502,                0.26869,                0.18281,                 1.4106,                 3.6301,                 2.0635,             0.00037489,             0.00037489,             0.00037489
                    105,                 1.4743,                  3.558,                 2.6384,                0.49362,                0.30502,                0.26869,                0.18281,                 1.4106,                 3.6301,                 2.0635,             0.00037448,             0.00037448,             0.00037448
                    106,                 1.7942,                 3.7991,                 2.6792,                0.44642,                   0.35,                0.28642,                 0.2111,                 1.3687,                  3.279,                 2.0647,             0.00037407,             0.00037407,             0.00037407
                    107,                  2.548,                 4.2438,                 3.3278,                0.44642,                   0.35,                0.28642,                 0.2111,                 1.3687,                  3.279,                 2.0647,             0.00037365,             0.00037365,             0.00037365
                    108,                 1.8164,                 3.6248,                 2.7505,                0.35996,                   0.35,                0.24294,                 0.1837,                 1.4025,                  3.275,                 2.1524,             0.00037324,             0.00037324,             0.00037324
                    109,                 1.6081,                 3.3282,                 2.6377,                0.35996,                   0.35,                0.24294,                 0.1837,                 1.4025,                  3.275,                 2.1524,             0.00037283,             0.00037283,             0.00037283
                    110,                 2.3092,                 4.0722,                  3.245,                0.02293,                      1,                 0.2238,                0.16274,                 1.4073,                 3.3129,                 2.2158,             0.00037241,             0.00037241,             0.00037241
                    111,                 1.8164,                 4.2135,                  2.828,                0.02293,                      1,                 0.2238,                0.16274,                 1.4073,                 3.3129,                 2.2158,               0.000372,               0.000372,               0.000372
                    112,                 1.8605,                 3.5275,                 2.7967,                0.03081,                    0.9,                0.17498,                0.11512,                  1.338,                 3.7373,                 2.3655,             0.00037159,             0.00037159,             0.00037159
                    113,                 2.2938,                 4.2471,                 3.0915,                0.03081,                    0.9,                0.17498,                0.11512,                  1.338,                 3.7373,                 2.3655,             0.00037118,             0.00037118,             0.00037118
                    114,                 2.2008,                  4.135,                 2.9318,                0.00207,                    0.1,                0.01244,                0.00672,                 1.4231,                  4.349,                 2.9739,             0.00037076,             0.00037076,             0.00037076
                    115,                 1.9756,                 4.3437,                 2.7856,                0.00207,                    0.1,                0.01244,                0.00672,                 1.4231,                  4.349,                 2.9739,             0.00037035,             0.00037035,             0.00037035
                    116,                 1.9089,                 4.0498,                 2.7855,                0.00122,                   0.05,                0.01244,                0.00622,                 1.4044,                 4.3526,                 2.9753,             0.00036994,             0.00036994,             0.00036994
                    117,                 1.9298,                 3.7967,                 2.8413,                0.00122,                   0.05,                0.01244,                0.00622,                 1.4044,                 4.3526,                 2.9753,             0.00036952,             0.00036952,             0.00036952
